ProductKey,ShipDateKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,UnitPriceDiscountPct,ProductStandardCost,ShipDate,ProductName,Subcategory,Category
355,20071219,4,SO59879,1,2319.99,0,1265.6195,12/19/2007,"Mountain-200 Silver, 42",Mountain Bikes,Bikes
540,20070812,1,SO52081,1,32.6,0,12.1924,8/12/2007,HL Road Tire,Tires and Tubes,Accessories
480,20071213,4,SO59453,1,2.29,0,0.8565,12/13/2007,Patch Kit/8 Patches,Tires and Tubes,Accessories
225,20080426,10,SO68582,1,8.99,0,6.9223,4/26/2008,AWC Logo Cap,Caps,Clothing
484,20080110,4,SO61410,1,7.95,0,2.9733,1/10/2008,Bike Wash - Dissolver,Cleaners,Accessories
529,20071104,10,SO56826,1,3.99,0,1.4923,11/4/2007,Road Tire Tube,Tires and Tubes,Accessories
222,20080626,9,SO73261,1,34.99,0,13.0863,6/26/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
478,20080615,4,SO72458,1,9.99,0,3.7363,6/15/2008,Mountain Bottle Cage,Bottles and Cages,Accessories
583,20071018,8,SO55932,1,1700.99,0,1082.51,10/18/2007,"Road-350-W Yellow, 48",Road Bikes,Bikes
599,20080624,8,SO73118,1,539.99,0,294.5797,6/24/2008,"Mountain-500 Black, 48",Mountain Bikes,Bikes
480,20080123,1,SO62184,1,2.29,0,0.8565,1/23/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
486,20070817,7,SO52357,1,159.0,0,59.466,8/17/2007,All-Purpose Bike Stand,Bike Stands,Accessories
214,20070912,4,SO53853,1,34.99,0,13.0863,9/12/2007,"Sport-100 Helmet, Red",Helmets,Accessories
355,20080118,1,SO61904,1,2319.99,0,1265.6195,1/18/2008,"Mountain-200 Silver, 42",Mountain Bikes,Bikes
482,20080425,1,SO68499,1,8.99,0,3.3623,4/25/2008,"Racing Socks, L",Socks,Clothing
355,20080426,9,SO68605,1,2319.99,0,1265.6195,4/26/2008,"Mountain-200 Silver, 42",Mountain Bikes,Bikes
483,20080524,8,SO70766,1,120.0,0,44.88,5/24/2008,Hitch Rack - 4-Bike,Bike Racks,Accessories
583,20080411,9,SO67624,1,1700.99,0,1082.51,4/11/2008,"Road-350-W Yellow, 48",Road Bikes,Bikes
478,20080202,6,SO62781,1,9.99,0,3.7363,2/2/2008,Mountain Bottle Cage,Bottles and Cages,Accessories
357,20071220,10,SO59905,1,2319.99,0,1265.6195,12/20/2007,"Mountain-200 Silver, 46",Mountain Bikes,Bikes
234,20071228,10,SO60490,1,49.99,0,38.4923,12/28/2007,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
479,20080529,9,SO71130,1,8.99,0,3.3623,5/29/2008,Road Bottle Cage,Bottles and Cages,Accessories
214,20080415,9,SO67847,1,34.99,0,13.0863,4/15/2008,"Sport-100 Helmet, Red",Helmets,Accessories
474,20080503,4,SO69044,1,69.99,0,26.1763,5/3/2008,"Women's Mountain Shorts, S",Shorts,Clothing
485,20080117,8,SO61796,1,21.98,0,8.2205,1/17/2008,Fender Set - Mountain,Fenders,Accessories
477,20080424,9,SO68467,1,4.99,0,1.8663,4/24/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
537,20080709,4,SO74214,1,35.0,0,13.09,7/9/2008,HL Mountain Tire,Tires and Tubes,Accessories
486,20071122,9,SO57960,1,159.0,0,59.466,11/22/2007,All-Purpose Bike Stand,Bike Stands,Accessories
225,20071010,10,SO55504,1,8.99,0,6.9223,10/10/2007,AWC Logo Cap,Caps,Clothing
335,20070615,4,SO50848,1,782.99,0,486.7066,6/15/2007,"Road-650 Black, 60",Road Bikes,Bikes
560,20070915,10,SO54026,1,1214.85,0,755.1508,9/15/2007,"Touring-2000 Blue, 60",Touring Bikes,Bikes
530,20080316,7,SO65842,1,4.99,0,1.8663,3/16/2008,Touring Tire Tube,Tires and Tubes,Accessories
485,20080703,4,SO73838,1,21.98,0,8.2205,7/3/2008,Fender Set - Mountain,Fenders,Accessories
473,20070823,10,SO52616,1,63.5,0,23.749,8/23/2007,"Classic Vest, L",Vests,Clothing
473,20080404,9,SO67019,1,63.5,0,23.749,4/4/2008,"Classic Vest, L",Vests,Clothing
480,20080525,6,SO70862,1,2.29,0,0.8565,5/25/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
479,20080315,9,SO65782,1,8.99,0,3.3623,3/15/2008,Road Bottle Cage,Bottles and Cages,Accessories
222,20080210,9,SO63479,1,34.99,0,13.0863,2/10/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
214,20080308,7,SO65368,1,34.99,0,13.0863,3/8/2008,"Sport-100 Helmet, Red",Helmets,Accessories
536,20080503,1,SO69041,1,29.99,0,11.2163,5/3/2008,ML Mountain Tire,Tires and Tubes,Accessories
475,20070910,10,SO53748,1,69.99,0,26.1763,9/10/2007,"Women's Mountain Shorts, M",Shorts,Clothing
478,20070906,1,SO53368,1,9.99,0,3.7363,9/6/2007,Mountain Bottle Cage,Bottles and Cages,Accessories
477,20080128,9,SO62474,1,4.99,0,1.8663,1/28/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
225,20071210,10,SO59235,1,8.99,0,6.9223,12/10/2007,AWC Logo Cap,Caps,Clothing
478,20080412,6,SO67665,1,9.99,0,3.7363,4/12/2008,Mountain Bottle Cage,Bottles and Cages,Accessories
536,20071121,1,SO57916,1,29.99,0,11.2163,11/21/2007,ML Mountain Tire,Tires and Tubes,Accessories
467,20070922,6,SO54395,1,24.49,0,9.1593,9/22/2007,"Half-Finger Gloves, L",Gloves,Clothing
478,20080804,6,SO75014,1,9.99,0,3.7363,8/4/2008,Mountain Bottle Cage,Bottles and Cages,Accessories
217,20080327,1,SO66540,1,34.99,0,13.0863,3/27/2008,"Sport-100 Helmet, Black",Helmets,Accessories
479,20080427,9,SO68677,1,8.99,0,3.3623,4/27/2008,Road Bottle Cage,Bottles and Cages,Accessories
477,20070805,1,SO51645,1,4.99,0,1.8663,8/5/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
479,20080103,8,SO60892,1,8.99,0,3.3623,1/3/2008,Road Bottle Cage,Bottles and Cages,Accessories
529,20071222,10,SO60083,1,3.99,0,1.4923,12/22/2007,Road Tire Tube,Tires and Tubes,Accessories
480,20080616,4,SO72549,1,2.29,0,0.8565,6/16/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
480,20080210,9,SO63482,1,2.29,0,0.8565,2/10/2008,Patch Kit/8 Patches,Tires and Tubes,Accessories
475,20071125,4,SO58154,1,69.99,0,26.1763,11/25/2007,"Women's Mountain Shorts, M",Shorts,Clothing
529,20080731,10,SO74900,1,3.99,0,1.4923,7/31/2008,Road Tire Tube,Tires and Tubes,Accessories
484,20071108,4,SO57224,1,7.95,0,2.9733,11/8/2007,Bike Wash - Dissolver,Cleaners,Accessories
606,20080216,6,SO63872,1,539.99,0,343.6496,2/16/2008,"Road-750 Black, 52",Road Bikes,Bikes
529,20070729,9,SO51511,1,3.99,0,1.4923,7/29/2007,Road Tire Tube,Tires and Tubes,Accessories
592,20071210,8,SO59217,1,564.99,0,308.2179,12/10/2007,"Mountain-500 Silver, 42",Mountain Bikes,Bikes
222,20080402,8,SO66912,1,34.99,0,13.0863,4/2/2008,"Sport-100 Helmet, Blue",Helmets,Accessories
541,20080308,10,SO65363,1,28.99,0,10.8423,3/8/2008,Touring Tire,Tires and Tubes,Accessories
536,20071220,9,SO59909,1,29.99,0,11.2163,12/20/2007,ML Mountain Tire,Tires and Tubes,Accessories
358,20070621,10,SO50908,1,2049.0982,0,1105.81,6/21/2007,"Mountain-200 Black, 38",Mountain Bikes,Bikes
530,20080309,9,SO65402,1,4.99,0,1.8663,3/9/2008,Touring Tire Tube,Tires and Tubes,Accessories
387,20070414,9,SO49957,1,1000.4375,0,605.6492,4/14/2007,"Road-550-W Yellow, 44",Road Bikes,Bikes
350,20060305,1,SO45501,1,3374.99,0,1898.0944,3/5/2006,"Mountain-100 Black, 44",Mountain Bikes,Bikes
488,20071108,9,SO57191,1,53.99,0,41.5723,11/8/2007,"Short-Sleeve Classic Jersey, S",Jerseys,Clothing
477,20080730,1,SO74860,1,4.99,0,1.8663,7/30/2008,Water Bottle - 30 oz.,Bottles and Cages,Accessories
539,20080308,9,SO65375,1,24.99,0,9.3463,3/8/2008,ML Road Tire,Tires and Tubes,Accessories
310,20050925,10,SO44210,1,3578.27,0,2171.2942,9/25/2005,"Road-150 Red, 62",Road Bikes,Bikes
537,20070901,4,SO53115,1,35.0,0,13.09,9/1/2007,HL Mountain Tire,Tires and Tubes,Accessories
530,20080604,7,SO71534,1,4.99,0,1.8663,6/4/2008,Touring Tire Tube,Tires and Tubes,Accessories
472,20080409,9,SO67464,1,63.5,0,23.749,4/9/2008,"Classic Vest, M",Vests,Clothing
535,20080314,4,SO65691,1,24.99,0,9.3463,3/14/2008,LL Mountain Tire,Tires and Tubes,Accessories
217,20070906,6,SO53373,1,34.99,0,13.0863,9/6/2007,"Sport-100 Helmet, Black",Helmets,Accessories
217,20080122,10,SO62097,1,34.99,0,13.0863,1/22/2008,"Sport-100 Helmet, Black",Helmets,Accessories
477,20070731,10,SO51549,1,4.99,0,1.8663,7/31/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
390,20080627,9,SO73389,1,1120.49,0,713.0798,6/27/2008,"Road-550-W Yellow, 48",Road Bikes,Bikes
353,20080316,10,SO65804,1,2319.99,0,1265.6195,3/16/2008,"Mountain-200 Silver, 38",Mountain Bikes,Bikes
477,20071223,6,SO60146,1,4.99,0,1.8663,12/23/2007,Water Bottle - 30 oz.,Bottles and Cages,Accessories
537,20070818,4,SO52396,1,35.0,0,13.09,8/18/2007,HL Mountain Tire,Tires and Tubes,Accessories
486,20070823,9,SO52620,1,159.0,0,59.466,8/23/2007,All-Purpose Bike Stand,Bike Stands,Accessories
358,20060825,9,SO47220,1,2049.0982,0,1105.81,8/25/2006,"Mountain-200 Black, 38",Mountain Bikes,Bikes
579,20070816,9,SO52281,1,1214.85,0,755.1508,8/16/2007,"Touring-2000 Blue, 54",Touring Bikes,Bikes
529,20080502,8,SO69022,1,3.99,0,1.4923,5/2/2008,Road Tire Tube,Tires and Tubes,Accessories
384,20071230,7,SO60621,1,1120.49,0,713.0798,12/30/2007,"Road-550-W Yellow, 40",Road Bikes,Bikes
