product,size,price,in_stock,category,date_added
gray sweater,Large,130.65,TRUE,Tops,
white tuxedo, m,455.58 ,unknown,Formal,11-Aug-2025
silver tie,L ,5010.0,FALSE,Accessories,08/20/2025
 navy blazer ,XXL,18842.5,FALSE,Formal,21-Aug-2024
white dress,XL,,N,Dresses,03/02/2025
black jeans,M,69.53,TRUE,Bottoms,03/25/2025
green hoodie,M,free,TRUE,Tops,2024-11-20
BLUE PANTS,L ,,Yes,Bottoms,2025-01-16
brown belt,XS,19.88,TRUE,Accessories,2026-05-10
blue pants,med,68.83 USD,Yes,Bottoms,12-Sep-2024
denim jacket,,21207.0,FALSE,Outerwear,06/08/2025
yellow skirt,L,103.15,TRUE,Bottoms,12/07/2024
black boots,XXL,274.25 USD,FALSE,Shoes,07/15/2025
green hoodie,XL,,TRUE,Tops,01/05/2025
black tuxedo,3XL,$765.56,TRUE,Formal,02/02/2025
sports socks,XS,7.86,TRUE,Accessories,09/02/2025
SILVER TIE,N,55.7,TRUE,Accessories,05/08/2025
Denim Jacket,S,"96,58",N,Outerwear,09-Mar-2025
white tuxedo,s,517.51,TRUE,Formal,2026-01-11T22:30:00
 silver tie ,L,63.27,TRUE,Accessories,10/10/2024
white tuxedo,XS,406.21,FALSE,Formal,2025-04-03
white dress,XS,197.54,FALSE,Dresses,09/20/2024
pink blouse,M,85.73,,Tops,04-Nov-2024
white sneakers,M,66.08,TRUE,Shoes,2025-06-13
white tuxedo,l,280.35,Y,Formal,25-Aug-2025
blue shirt,XXL,59.15,FALSE,Tops,14-Feb-2025
black boots,S,,,Shoes,06/11/2025
yellow skirt,L,63.93,,Bottoms,03-Feb-2025
blue pants,3XL,67.14 USD,FALSE,Bottoms,15-Aug-2024
white-sneakers  , L ,137.46,FALSE,Shoes,2025-10-06
black boots,XXL,156.55,FALSE,Shoes,27-Jan-2026
blue pants,One Size,87.49,FALSE,Bottoms,2024-11-27
brown belt,s,,TRUE,Accessories,
green hoodie,S,,,Tops,2026-01-31
gray sweater,L,$100.96,1,Tops,
LEATHER WALLET,S,81.13,TRUE,Accessories,17-Jan-2025
black boots,XXL,25426.0,TRUE,Shoes,12/10/2024
sports_socks ,,,T,Accessories,2025-08-12
 white tuxedo ,L,204.95,TRUE,Formal,05/02/2025
navy blazer,M,15180.000000000002,unknown,Formal,11-Jan-2025
black boots,s,222.46,TRUE,Shoes,2024-10-27T03:32:00
red shirt,L,57.79,FALSE,Tops,2025-06-08
khaki shorts,XXL,55.59,FALSE,Bottoms,22-Jan-2025
White Tuxedo,L,205.47,TRUE,Formal,2025-04-02
 white dress ,XS,132.39,TRUE,Dresses,26-May-2025
silver tie,M,49.26,,Accessories,2025-11-20
green hoodie,XXL,93.19,FALSE,Tops,26-Oct-2024
white sneakers,XL,91.63,TRUE ,Shoes,09/12/2024
navy blazer,XXL,141.77,FALSE,Formal,
blue shirt,xxl,53.1,,Tops,
black boots,L,292.93,TRUE,Shoes,26-Jun-2025
gray sweater,S,77.49,TRUE,Tops,03/11/2025
yellow skirt,XL,63.17,FALSE,Bottoms,21-Sep-2024
white dress, S ,221.47,TRUE,Dresses,2025-02-14
green hoodie,XXL,2795.0,FALSE,Tops,
,S,187.08,FALSE,,2025-02-23
pink-blouse  ,M,54.64,TRUE,Tops,04/04/2025
leather wallet,XL,87.94,FALSE,Accessories,10/14/2025
sports socks, m,6.68,TRUE,Accessories,2025-03-09
red shirt,S,33.49,FALSE,Tops,10/13/2025
gray_sweater ,XS,102.89,TRUE,Tops,2026-03-03
blue pants,XS,66.01,FALSE,Bottoms,08/15/2024
brown belt,M,36.19,T,Accessories,2025-08-08
leather wallet,XL,45.23,FALSE,Accessories,2024-12-26
??, M ,$34.80,TRUE ,Accessories,2025-11-18
blue shirt,M,52.03,TRUE,Tops,29-Oct-2024
black jeans,s,56.98,FALSE,Bottoms,07-Dec-2025
white sneakers,XXL,68.23  ,FALSE,Shoes,25-Sep-2024
BLUE PANTS,L ,,Yes,Bottoms,2025-01-16
yellow skirt,L ,71.85,TRUE,Bottoms,11/16/2025
BLUE PANTS,XL,55.85 USD,FALSE,Bottoms,12-Oct-2025
sports socks,M,free,FALSE,Accessories,12/17/2024
navy blazer,XS,346.83,,Formal,25-Feb-2025
white sneakers,L,free,1,Shoes,2026-03-08
denim jacket,L,189.69,FALSE,Outerwear,17-Jan-2025
khaki shorts,M,55.16,N,Bottoms,10/02/2025
leather wallet,XS,5361.0,0,Accessories,07-Jan-2025
black jeans,,,No,Bottoms,31-Aug-2025
sports socks,S,11.91,FALSE,Accessories,26-Jan-2026
navy blazer,l,380.99,TrUe,Formal,2026-05-28
denim jacket,M,62.65,False,Outerwear,2024-10-09T16:02:00
yellow skirt,N,-80.55,TRUE,Bottoms,10-Mar-2025
navy blazer,Large,373.5,N,Formal,2025-11-06
navy blazer, xxl ,190.07,FALSE,Formal,2025-03-15
silver tie,M,-46.95,TRUE,Accessories,21-Feb-2025
GREEN HOODIE,S,,TRUE,Tops,11/03/2025
Denim Jacket,XL,153.34  ,No,Outerwear,2024-11-26
gray sweater,S,106.86,TRUE,Tops,08/19/2024
leather wallet,L,75.6,FALSE,Accessories,04/01/2025
Silver Tie,L ,47.96,N,Accessories,31-May-2025
yellow skirt,XS,free,FALSE,Bottoms,
blue pants,XS,75.80 USD,No,Bottoms,12/14/2024
white_dress ,L,"195,87",unknown,Dresses,22-Dec-2025
silver tie,L,31.62,T,Accessories,19-Sep-2025
red shirt,XXL,free,TRUE,Tops,2024-10-10
blue pants,L,4403.0,FALSE,Bottoms,01/02/2026
green hoodie,XL,,FALSE,Tops,02/26/2025
pink blouse,L,71.4,FALSE,Tops,09/13/2024
Green Hoodie,XL,80.05,TRUE,Tops,2025-08-12
red shirt,XL,55.16,FALSE,Tops,07-Apr-2025
White Tuxedo,XL,$279.37,TRUE,Formal,12-Nov-2024
silver tie,XS,60.07,FALSE,Accessories,01/01/2026
khaki shorts,XXL,34.06,TRUE,Bottoms,17-May-2025
green hoodie,XS,"43,360",No,Tops,10/13/2025
SILVER TIE,XXL,43.83 USD,FALSE,Accessories,
sports socks,M,14.9,0,Accessories,05/16/2025
RED SHIRT,,3975.0,TRUE,Tops,2024-10-26
sports socks,XS,9.84,TRUE,Accessories,07/27/2025
white tuxedo,S,289.85,FALSE,Formal,05-Oct-2025
red shirt,M,"45,73",FALSE,Tops,2025-07-15
??,XL,431.38,FALSE,Accessories,2024-10-19
black tuxedo,x l,694.15,FALSE,Formal,12/18/2024
pink blouse, m,68.08,FALSE,Tops,01/31/2025
pink blouse,L,4134.0,TRUE,Tops,12/25/2025
unknown product,XXL,61.45,TRUE,Outerwear,06/22/2025
sports  socks,s,,FALSE,Accessories,05/17/2025
pink blouse,XL,65.56,FALSE,Tops,
black boots,xxl,,TRUE,Shoes,2026-01-17
red shirt,L,58.04,FALSE,Tops,10-Sep-2025
white dress,L,,,Dresses,2024-10-04
white_tuxedo ,xs,397.54,TRUE,Formal,
blue shirt,x l,51.85,TRUE,Tops,20-Aug-2024
white-sneakers  , L ,137.87,FALSE,Shoes,2025-10-06
black tuxedo,L,,FALSE,Formal,13/40/2024
white sneakers,XS,153.93 USD,,Shoes,2024-10-03
white tuxedo,N,229.92,FALSE,Formal,2026-01-17
yellow skirt, M ,79.27,TRUE,Bottoms,2025-07-26
black boots,L,109.92,TRUE,Shoes,2025-04-13
silver tie,XXL,52.82,FALSE,Accessories,05/26/2025
Blue Shirt,XL,,TRUE,Tops,01/07/2025
khaki shorts, XS ,"35,25",TRUE,Bottoms,2025-04-26T08:40:00
black jeans,XS,47.16,TRUE ,Bottoms,2025-01-08
black boots,m,150.67,FALSE,Shoes,2024-09-05
silver tie, m,63.22,FALSE,Accessories,08-Nov-2024
yellow skirt,xs,107.2  ,TRUE,Bottoms,04/25/2025
yellow skirt,XXL,56.82,N,Bottoms,2025-10-14
??,S,117.35,TRUE,Tops,29-Sep-2024
khaki shorts,S,72.31,FALSE,Bottoms,15-Sep-2025
navy blazer,L,231.21,,Formal,30-Jul-2025
leather wallet,,,TRUE,Accessories,2025-12-05
blue shirt,M,43.88,FALSE,Tops,2025-11-04
sports socks,S,22.85,FALSE,Accessories,07-Jan-2026
white dress,XS,191.69 USD,Yes,Dresses,11/19/2025
denim jacket, XL ,128.84,FALSE,Outerwear,05-Oct-2024
Pink Blouse,M,91.01,N,Tops,2025-01-12
sports socks,L,9.6,TRUE,Accessories,2025-07-14
,S,104.28,FALSE,Bottoms,11/01/2024
Brown Belt,S,,FALSE,Accessories,11/21/2024
black boots,XL,141.98,FALSE,Shoes,17-Jun-2025
black tuxedo,XS,532.37,FALSE,Formal,17-Sep-2024
black jeans,L,,FALSE,Bottoms,2024-11-20T23:24:00
green hoodie,L,68.5,TRUE,Tops,
