product,size,price,in_stock,category,date_added
red shirt,XL,$47.59,unknown,Tops,2026-04-06
 leather wallet ,M,35.45,FALSE,Accessories,2025-05-22
blue pants,XL,56.9,FALSE,Bottoms,19-Sep-2024
sports socks,M,17.85,Yes,Accessories,05/30/2025
white tuxedo,Large,,1,Formal,02-Dec-2025
white dress,L,,,Dresses,2024-10-04
black boots,L,-270.75,TRUE,Shoes,09/24/2025
sports socks,XS,9.84,TRUE,Accessories,07/27/2025
sports socks,S,224.4,FALSE,Accessories,04-Aug-2025
green hoodie,x l,74.53  ,No,Tops,11/09/2024
pink blouse,XL,62.22,FALSE,Tops,
white tuxedo,S,289.85,FALSE,Formal,05-Oct-2025
white sneakers,3XL,66.43,TRUE ,Shoes,01/05/2026
yellow skirt,XXL,"103,190",FALSE,Bottoms,2025-03-06
denim jacket,med,,FALSE,Outerwear,2026-05-27
red shirt,XXL,56.15,TRUE,Tops,12/08/2024
khaki shorts,S,59.61,FALSE,Bottoms,01-Jan-2026
,s,56.18 ,TRUE,Outerwear,2025-04-29
Silver Tie,XS,50.73,TRUE,Accessories,28-Jan-2025
BLUE PANTS,XS,44.09,1,Bottoms,
white tuxedo,M,-506.68,TRUE,Formal,2025-07-15
blue pants,XL,80.96,TRUE,Bottoms,2025-11-21
white sneakers,,,TRUE,Shoes,12/21/2025
blue pants,xl,71.67 USD,FALSE,Bottoms,2025-08-06
blue pants,N,-73.18,,Bottoms,08/10/2024
silver tie,XXL,free,TRUE,Accessories,2026-03-29
blue-pants,S,,TRUE,Bottoms,2025-10-16T22:08:00
silver  tie ,L,,Yes,Accessories,
white tuxedo,S,439.11 ,N,Formal,11-Oct-2025
navy blazer,L,182.15,FALSE,Formal,2026-01-10
black jeans,XL,128.3,TRUE,Bottoms,28-May-2025
black boots,XL,285.56,FALSE,Shoes,09/24/2025
khaki shorts,xs,55.91  ,FALSE,Bottoms,2025-04-29
blue shirt,M,52.03,TRUE,Tops,29-Oct-2024
white dress,XS,191.69 USD,Yes,Dresses,11/19/2025
sports socks,M,15.13,0,Accessories,05/16/2025
NAVY BLAZER,XS,,FALSE,Formal,08/10/2025
leather wallet,M,32.08,FALSE,Accessories,2026-02-06
yellow skirt, m,87.06,TRUE,Bottoms,2025-05-10
khaki shorts,One Size,49.63,TRUE,Bottoms,04/11/2025
white tuxedo,L,502.63,TRUE,Formal,2026-05-09
khaki shorts,XXL,54.34,FALSE,Bottoms,2025-08-22
Black Boots,XXL,,Y,Shoes,02-Oct-2025
silver tie,S,24.52,Yes,Accessories,2024-11-05
gray sweater,l,"104,40",FALSE,Tops,10/19/2025
red shirt,L,28.1,1,Tops,2024-08-18
leather-wallet,XL,37.77,FALSE,Accessories,
denim jacket,XXL,70.51,TRUE,Outerwear,23-Aug-2025
black_tuxedo ,S,594.01,FALSE,Formal,17-Nov-2025
yellow skirt,XS,-49.88,unknown,Bottoms,
gray sweater, L ,43.35,TRUE,Tops,28-Aug-2025
denim jacket,xl,197.72,FALSE,Outerwear,2025-02-12
leather wallet,XL,79.14,FALSE,Accessories,2025-10-23
khaki shorts,XL,30.79,FALSE,Bottoms,11-Jul-2025
unknown product,S,$41.72,TRUE,Tops,2025-07-12
Black Jeans,S,$45.39,FALSE,Bottoms,2025-03-28
black jeans,XS,47.16,TRUE ,Bottoms,2025-01-08
silver tie, m,63.22,FALSE,Accessories,08-Nov-2024
yellow skirt,N,-80.55,TRUE,Bottoms,10-Mar-2025
