SalesOrderNo,ProductName,ShipDate,Quantity,UnitPrice,Customer,Category,,
43736,"Mountain-100 Silver, 44",7/17/2005,1,3399.99,torres,"Mountain Bikes, Bikes",,
43793,"Mountain-100 Silver, 38",7/29/2005,1,3399.99,Yang,"Mountain Bikes, Bikes",,
43810,"Mountain-100 Silver, 42",8/2/2005,1,3399.99,,"Mountain Bikes, Bikes",,
43819,"Mountain-100 Silver, 44",8/3/2005,1,3399.99,Alvarez,"Mountain Bikes, ",,
43826,"Mountain-100 Black, 38",8/4/2005,1,3374.99,Verhoff,"Mountain Bikes, ",,
SO51198,"Mountain-200 Silver, 46",7/9/2007,1,2319.99,Alvarez,"Mountain Bikes, ",,
SO51198,Mountain Bottle Cage,7/9/2007,1,9.99,Alvarez,"Bottles and Cages, Accessories",,
SO51198,Water Bottle - 30 oz.,7/9/2007,1,4.99,Alvarez,"Bottles and Cages, Accessories",,
51238,"Mountain-200 Black, 38",7/11/2007,1,2294.99,Torres,"Mountain Bikes, Bikes",,
51282,"Mountain-200 Black, 42",7/14/2007,1,2294.99,Verhoff,"Mountain Bikes, Bikes",,
51282,Water Bottle - 30 oz.,7/14/2007,1,4.99,Verhoff,"Bottles and Cages, Accessories",,
51282,Mountain Bottle Cage,7/14/2007,1,9.99,Verhoff,"Bottles and Cages, Accessories",,
51282,Patch Kit/8 Patches,7/14/2007,1,2.29,Verhoff,"Tires and Tubes, Accessories",,
51522,"Mountain-200 Silver, 38",7/29/2007,1,2319.99,Yang,"Mountain Bikes, Bikes",,
51522,Fender Set - Mountain,7/29/2007,1,21.98,Yang,"Fenders, Accessories",,
51595,"Mountain-200 Silver, 42",8/2/2007,1,2319.99,JOHNSON,"Mountain Bikes, Bikes",,
51595,Fender Set - Mountain,8/2/2007,1,21.98,JOHNSON,"Fenders, Accessories",,
51595,"Sport-100 Helmet, Red",8/2/2007,1,34.99,JOHNSON,"Helmets, Accessories",,
53237,"Touring-1000 Yellow, 46",9/3/2007,1,2384.07,Torres,"Touring Bikes, Bikes",,
53237,"Sport-100 Helmet, Blue",9/3/2007,1,34.99,Torres,"Helmets, Accessories",,
53765,"Touring-1000 Yellow, 46",9/10/2007,1,2384.07,VERHOFF,"Touring Bikes, Bikes",,
53765,"Sport-100 Helmet, Red",9/10/2007,1,34.99,VERHOFF,"Helmets, Accessories",,
57293,"Touring-1000 Yellow, 50",11/9/2007,1,2384.07,Johnson,"Touring Bikes, Bikes",,
57293,"Sport-100 Helmet, Black",11/9/2007,1,34.99,Johnson,"Helmets, ",,
57418,"Touring-1000 Blue, 46",11/11/2007,1,2384.07,Yang,"Touring Bikes, Bikes",,
57418,Touring Tire,11/11/2007,1,28.99,Yang,"Tires and Tubes, Accessories",,
57418,Touring Tire Tube,11/11/2007,1,4.99,Yang,"Tires and Tubes, Accessories",,
57418,"Sport-100 Helmet, Red",11/11/2007,1,34.99,Yang,"Helmets, Accessories",,
57418,"Short-Sleeve Classic Jersey, S",11/11/2007,1,53.99,Yang,"Jerseys, Clothing",,
58007,"Touring-1000 Yellow, 50",11/22/2007,1,2384.07,Alvarez,"Touring Bikes, Bikes",,
58007,"Touring-1000 Yellow, 50",11/22/2007,1,2384.07,Alvarez,"Touring Bikes, Bikes",,
